recipe_id,recipe_name,region_or_origin,category,ingredients,normalized_ingredients,instructions,prep_time_minutes,cook_time_minutes,servings,calories_estimate,difficulty,tags
R030,Mechado,Tagalog,Main Dish,beef chuck; tomato sauce; soy sauce; calamansi; potato; carrot; bay leaf; garlic; onion,beef chuck; tomato sauce; soy sauce; calamansi; potato; carrot; bay leaf; garlic; onion,Marinate beef in soy sauce and calamansi. Sauté aromatics and beef. Add tomato sauce bay leaf and simmer until tender. Add vegetables.,20,120,5,520,Medium,beef tomato stew
R031,Beef Tapa,Tagalog,Breakfast,beef sirloin; soy sauce; calamansi; garlic; sugar; black pepper; cooking oil,beef sirloin; soy sauce; calamansi; garlic; sugar; black pepper; cooking oil,Marinate thin beef with soy sauce calamansi garlic sugar and pepper. Pan-fry until browned. Serve with garlic rice and egg.,240,25,4,360,Easy,breakfast; cured beef
R032,Tocino,Pampanga,Breakfast,pork shoulder; sugar; salt; pineapple juice; garlic powder; annatto; black pepper,pork shoulder; sugar; salt; pineapple juice; garlic powder; annatto; black pepper,Marinate pork with sugar salt pineapple juice annatto and spices. Pan-cook with a little water until caramelized.,480,30,4,420,Easy,sweet pork; breakfast
R033,Longganisa,Various Regions,Breakfast,pork; garlic; vinegar; sugar; salt; black pepper; paprika; sausage casing,pork; garlic; vinegar; sugar; salt; black pepper; paprika; sausage casing,Mix pork with garlic vinegar sugar salt and spices. Stuff into casing or form patties. Pan-fry until browned and cooked.,480,35,6,450,Medium,sausage; breakfast
R034,Arroz Caldo,Tagalog,Rice Porridge,glutinous rice; chicken; ginger; garlic; onion; fish sauce; chicken broth; boiled egg; green onion,glutinous rice; chicken; ginger; garlic; onion; fish sauce; chicken broth; boiled egg; green onion,Sauté garlic onion ginger and chicken. Add rice and broth. Simmer until thick and creamy. Serve with egg green onion and calamansi.,15,55,5,360,Easy,porridge; comfort food
R035,Goto,Tagalog,Rice Porridge,glutinous rice; beef tripe; ginger; garlic; onion; beef broth; fish sauce; green onion; fried garlic,glutinous rice; beef tripe; ginger; garlic; onion; beef broth; fish sauce; green onion; fried garlic,Boil tripe until tender. Sauté aromatics and rice. Add broth and tripe then simmer until thick. Top with fried garlic.,20,90,5,390,Medium,porridge; beef tripe
R036,Champorado,Tagalog,Breakfast,glutinous rice; cocoa powder; tablea; sugar; evaporated milk; water; dried fish optional,glutinous rice; cocoa powder; tablea; sugar; evaporated milk; water; dried fish optional,Boil glutinous rice until soft. Add tablea cocoa and sugar. Simmer until thick. Serve with evaporated milk.,10,35,4,310,Easy,sweet porridge; chocolate
R037,Tortang Talong,Tagalog,Vegetable Dish,eggplant; eggs; salt; black pepper; cooking oil; onion optional,eggplant; eggs; salt; black pepper; cooking oil; onion optional,Grill eggplant until soft then peel. Flatten and dip in beaten eggs with seasoning. Pan-fry until golden on both sides.,10,25,2,220,Easy,eggplant omelet
R038,Tortang Giniling,Tagalog,Main Dish,ground pork; eggs; potato; carrot; onion; garlic; salt; pepper; cooking oil,ground pork; eggs; potato; carrot; onion; garlic; salt; pepper; cooking oil,Sauté ground pork with onion garlic potato and carrot. Mix with beaten eggs. Pan-fry portions until set and golden.,15,35,4,330,Easy,omelet; ground pork
R039,Daing na Bangus,Tagalog,Main Dish,milkfish; vinegar; garlic; salt; black pepper; cooking oil,milkfish; vinegar; garlic; salt; black pepper; cooking oil,Marinate butterflied milkfish in vinegar garlic salt and pepper. Fry until crisp and golden. Serve with rice and vinegar dip.,180,25,3,360,Easy,fried fish; marinated
R040,Rellenong Bangus,Tagalog,Main Dish,milkfish; ground pork; carrot; raisins; bell pepper; onion; garlic; soy sauce; egg; flour,milkfish; ground pork; carrot; raisins; bell pepper; onion; garlic; soy sauce; egg; flour,Remove fish meat and sauté with pork vegetables and seasoning. Stuff mixture back into fish skin. Coat and fry until golden.,30,90,5,480,Hard,stuffed fish; festive
R041,Ginataang Tilapia,Bicol,Main Dish,tilapia; coconut milk; pechay; ginger; garlic; onion; chili; fish sauce,tilapia; coconut milk; pechay; ginger; garlic; onion; chili; fish sauce,Sauté garlic onion and ginger. Add coconut milk and simmer. Add tilapia and cook gently. Add pechay chili and fish sauce.,15,35,4,380,Easy,fish; coconut milk
R042,Escabeche,Filipino-Chinese,Main Dish,fried fish; vinegar; sugar; ginger; garlic; onion; carrot; bell pepper; cornstarch,fried fish; vinegar; sugar; ginger; garlic; onion; carrot; bell pepper; cornstarch,Fry fish until crisp. Make sweet-sour sauce with vinegar sugar ginger and vegetables. Thicken slightly and pour over fish.,20,40,4,330,Medium,sweet sour; fish
R043,Ginataang Kalabasa at Sitaw,Tagalog,Vegetable Dish,squash; string beans; coconut milk; shrimp; garlic; onion; fish sauce; chili optional,squash; string beans; coconut milk; shrimp; garlic; onion; fish sauce; chili optional,Sauté garlic onion and shrimp. Add coconut milk and squash. Simmer until squash softens then add string beans and season.,15,35,4,320,Easy,vegetable; coconut milk
R044,Ginisang Ampalaya,Tagalog,Vegetable Dish,bitter melon; egg; tomato; onion; garlic; salt; pepper; cooking oil,bitter melon; egg; tomato; onion; garlic; salt; pepper; cooking oil,Salt bitter melon then rinse to reduce bitterness. Sauté garlic onion and tomato. Add bitter melon and egg then cook until set.,15,25,3,180,Easy,vegetable; egg
R045,Chopsuey,Filipino-Chinese,Vegetable Dish,cabbage; cauliflower; carrot; snow peas; bell pepper; chicken; shrimp; oyster sauce; garlic; onion,cabbage; cauliflower; carrot; snow peas; bell pepper; chicken; shrimp; oyster sauce; garlic; onion,Sauté garlic onion chicken and shrimp. Add vegetables and oyster sauce with a splash of broth. Cook until vegetables are crisp-tender.,20,35,5,280,Easy,mixed vegetables
R046,Chicken Curry Filipino Style,Filipino,Main Dish,chicken; coconut milk; curry powder; potato; carrot; bell pepper; garlic; onion; fish sauce,chicken; coconut milk; curry powder; potato; carrot; bell pepper; garlic; onion; fish sauce,Sauté aromatics and chicken. Add curry powder coconut milk and water. Simmer then add potato carrot and bell pepper.,20,50,4,470,Easy,coconut curry; chicken
R047,Giniling na Baboy,Tagalog,Main Dish,ground pork; potato; carrot; tomato sauce; raisins; green peas; garlic; onion; soy sauce,ground pork; potato; carrot; tomato sauce; raisins; green peas; garlic; onion; soy sauce,Sauté garlic onion and pork. Add soy sauce tomato sauce and simmer. Add potatoes carrots peas and raisins until tender.,15,40,5,360,Easy,ground pork; tomato
R048,Picadillo Filipino,Tagalog,Soup,ground beef; potato; carrot; tomato; garlic; onion; fish sauce; water; pepper,ground beef; potato; carrot; tomato; garlic; onion; fish sauce; water; pepper,Sauté garlic onion tomato and beef. Add water and simmer. Add potato carrot and season with fish sauce and pepper.,15,35,4,310,Easy,ground beef soup
R049,Chicken Pastel,Filipino-Spanish,Main Dish,chicken; sausage; potato; carrot; mushroom; bell pepper; cream; evaporated milk; pie crust optional,chicken; sausage; potato; carrot; mushroom; bell pepper; cream; evaporated milk; pie crust optional,Sauté chicken and sausage. Add vegetables mushrooms cream and milk. Simmer until thick. Serve as stew or bake with pastry crust.,25,65,5,560,Medium,creamy stew
R050,Embutido,Filipino,Main Dish,ground pork; egg; carrot; bell pepper; raisins; pickle relish; hotdog; cheese; breadcrumbs,ground pork; egg; carrot; bell pepper; raisins; pickle relish; hotdog; cheese; breadcrumbs,Mix pork with vegetables egg breadcrumbs and seasonings. Fill with hotdog and cheese. Steam until firm then slice and fry if desired.,25,75,6,420,Medium,meatloaf; festive
R051,Pork BBQ Skewers,Filipino,Main Dish,pork shoulder; soy sauce; banana ketchup; calamansi; garlic; brown sugar; black pepper; lemon soda,pork shoulder; soy sauce; banana ketchup; calamansi; garlic; brown sugar; black pepper; lemon soda,Marinate pork slices with soy sauce ketchup calamansi garlic sugar pepper and soda. Skewer then grill while basting until caramelized.,240,45,6,410,Medium,grilled; skewers
R052,Inihaw na Liempo,Filipino,Main Dish,pork belly; soy sauce; calamansi; garlic; sugar; black pepper; banana ketchup,pork belly; soy sauce; calamansi; garlic; sugar; black pepper; banana ketchup,Marinate pork belly with soy sauce calamansi garlic sugar and pepper. Grill until charred and cooked. Serve with toyomansi dip.,180,40,4,650,Easy,grilled pork
R053,Inihaw na Bangus,Filipino,Main Dish,milkfish; tomato; onion; ginger; salted egg; calamansi; salt; pepper,milkfish; tomato; onion; ginger; salted egg; calamansi; salt; pepper,Stuff milkfish with tomato onion ginger and salted egg. Season and grill until cooked. Serve with calamansi.,20,45,4,350,Medium,grilled fish
R054,Kinilaw na Tanigue,Visayas,Appetizer,tanigue fish; vinegar; calamansi; ginger; onion; chili; cucumber; salt; pepper,tanigue fish; vinegar; calamansi; ginger; onion; chili; cucumber; salt; pepper,Cube fresh fish and briefly soak in vinegar. Drain then mix with calamansi ginger onion chili cucumber salt and pepper. Chill before serving.,20,20,4,210,Medium,raw fish; vinegar
R055,Kilawing Puso ng Saging,Tagalog,Vegetable Dish,banana heart; vinegar; coconut milk; onion; garlic; ginger; chili; fish sauce,banana heart; vinegar; coconut milk; onion; garlic; ginger; chili; fish sauce,Boil sliced banana heart until tender. Sauté garlic onion and ginger. Add banana heart vinegar coconut milk and chili then simmer.,20,40,4,260,Medium,banana heart; coconut
R056,Bistek Tagalog,Tagalog,Main Dish,beef sirloin; soy sauce; calamansi; onion rings; garlic; black pepper; cooking oil,beef sirloin; soy sauce; calamansi; onion rings; garlic; black pepper; cooking oil,Marinate beef in soy sauce calamansi garlic and pepper. Pan-fry beef then simmer in marinade. Top with onion rings.,120,35,4,390,Easy,beef; soy calamansi
R057,Pork Steak,Tagalog,Main Dish,pork chop; soy sauce; calamansi; onion rings; garlic; black pepper; water; cooking oil,pork chop; soy sauce; calamansi; onion rings; garlic; black pepper; water; cooking oil,Marinate pork in soy sauce calamansi garlic and pepper. Pan-sear then simmer until tender. Add onion rings before serving.,90,45,4,430,Easy,pork; soy calamansi
R058,Chicken Hamonado,Filipino,Main Dish,chicken; pineapple juice; soy sauce; brown sugar; garlic; pineapple chunks; bay leaf; pepper,chicken; pineapple juice; soy sauce; brown sugar; garlic; pineapple chunks; bay leaf; pepper,Marinate chicken in pineapple juice soy sauce sugar garlic and pepper. Simmer with bay leaf until tender. Add pineapple chunks and reduce sauce.,120,55,4,410,Easy,sweet savory; pineapple
R059,Pork Hamonado,Filipino,Main Dish,pork shoulder; pineapple juice; soy sauce; brown sugar; garlic; pineapple chunks; bay leaf; pepper,pork shoulder; pineapple juice; soy sauce; brown sugar; garlic; pineapple chunks; bay leaf; pepper,Marinate pork in pineapple juice soy sauce sugar and garlic. Simmer until tender. Add pineapple chunks and reduce sauce to glaze.,120,75,5,520,Medium,sweet pork; pineapple
R060,Humba,Visayas,Main Dish,pork belly; soy sauce; vinegar; brown sugar; fermented black beans; banana blossoms; garlic; bay leaves,pork belly; soy sauce; vinegar; brown sugar; fermented black beans; banana blossoms; garlic; bay leaves,Sear pork belly. Add soy sauce vinegar sugar black beans garlic bay leaves and water. Simmer until tender and glossy. Add banana blossoms.,20,90,5,650,Medium,Visayan pork; sweet savory
R061,Paksiw na Isda,Filipino,Main Dish,fish; vinegar; ginger; garlic; onion; eggplant; bitter melon; chili; salt,fish; vinegar; ginger; garlic; onion; eggplant; bitter melon; chili; salt,Arrange fish with ginger garlic onion and vegetables. Add vinegar water salt and chili. Simmer without stirring until fish is cooked.,10,30,4,260,Easy,vinegar fish
R062,Paksiw na Lechon,Filipino,Main Dish,lechon; lechon sauce; vinegar; garlic; bay leaves; sugar; liver spread optional; water,lechon; lechon sauce; vinegar; garlic; bay leaves; sugar; liver spread optional; water,Simmer leftover lechon with lechon sauce vinegar garlic bay leaves sugar and water until tender and sauce thickens.,10,45,5,620,Easy,leftover lechon
R063,Dinuguan,Tagalog,Main Dish,pork; pork blood; vinegar; garlic; onion; chili; bay leaf; fish sauce; water,pork; pork blood; vinegar; garlic; onion; chili; bay leaf; fish sauce; water,Sauté garlic onion and pork. Add vinegar and simmer. Add pork blood while stirring then cook until thick and rich. Season and add chili.,20,60,5,420,Medium,blood stew; savory
R064,Papaitan,Ilocos,Soup,beef tripe; beef innards; bile; ginger; garlic; onion; chili; vinegar; fish sauce,beef tripe; beef innards; bile; ginger; garlic; onion; chili; vinegar; fish sauce,Boil innards until tender. Sauté aromatics and add chopped innards. Add broth bile vinegar and chili then simmer until bitter-savory.,30,120,6,390,Hard,bitter soup; innards
R065,Bopis,Filipino,Main Dish,pork lungs; pork heart; vinegar; annatto; garlic; onion; chili; carrot; bell pepper,pork lungs; pork heart; vinegar; annatto; garlic; onion; chili; carrot; bell pepper,Boil and mince pork lungs and heart. Sauté aromatics then add meat vinegar annatto and vegetables. Cook until almost dry.,30,90,5,360,Hard,spicy; minced pork
R066,Chicken Binakol,Western Visayas,Soup,chicken; coconut water; young coconut meat; ginger; garlic; onion; lemongrass; green papaya; fish sauce,chicken; coconut water; young coconut meat; ginger; garlic; onion; lemongrass; green papaya; fish sauce,Sauté aromatics and chicken. Add coconut water and lemongrass then simmer. Add papaya and coconut meat. Season with fish sauce.,20,55,4,360,Medium,coconut water soup
R067,Batchoy,Iloilo,Noodles,miki noodles; pork; pork liver; chicharon; garlic; onion; beef broth; egg; green onion,miki noodles; pork; pork liver; chicharon; garlic; onion; beef broth; egg; green onion,Prepare rich broth with pork and aromatics. Add noodles to bowls. Top with pork liver chicharon egg and green onion then pour hot broth.,25,60,4,520,Medium,noodle soup; Iloilo
R068,Kansi,Negros,Soup,beef shank; batuan or tamarind; lemongrass; annatto; green jackfruit; chili; onion; fish sauce,beef shank; batuan or tamarind; lemongrass; annatto; green jackfruit; chili; onion; fish sauce,Simmer beef shank with onion and lemongrass until tender. Add souring agent annatto and jackfruit. Season and add chili.,20,150,5,610,Medium,sour beef soup
R069,Chicken Halang-Halang,Visayas,Soup,chicken; coconut milk; ginger; garlic; onion; lemongrass; chili; green papaya; fish sauce,chicken; coconut milk; ginger; garlic; onion; lemongrass; chili; green papaya; fish sauce,Sauté aromatics and chicken. Add coconut milk and water. Simmer with lemongrass papaya and chili until chicken is tender.,20,55,4,430,Medium,spicy coconut soup
R070,Pianggang Manok,Mindanao,Main Dish,chicken; burnt coconut paste; coconut milk; turmeric; ginger; garlic; lemongrass; chili; onion,chicken; burnt coconut paste; coconut milk; turmeric; ginger; garlic; lemongrass; chili; onion,Marinate chicken with spices. Cook with burnt coconut paste coconut milk aromatics and chili until tender and sauce thickens.,30,70,5,520,Hard,Mindanao; coconut
R071,Beef Kulma,Mindanao,Main Dish,beef; coconut milk; peanut butter; curry powder; potato; carrot; garlic; onion; chili,beef; coconut milk; peanut butter; curry powder; potato; carrot; garlic; onion; chili,Sauté beef and aromatics. Add curry powder coconut milk and water. Simmer until tender then add vegetables peanut butter and chili.,25,120,5,590,Medium,Muslim Filipino; curry
R072,Pastil,Mindanao,Rice Meal,cooked rice; shredded chicken; soy sauce; garlic; onion; turmeric; banana leaf; cooking oil,cooked rice; shredded chicken; soy sauce; garlic; onion; turmeric; banana leaf; cooking oil,Cook shredded chicken with garlic onion soy sauce and turmeric until dry. Wrap rice and chicken topping in banana leaf.,20,40,4,340,Medium,rice meal; Mindanao
R073,Chicken Piyanggang Bowl,Mindanao,Rice Meal,chicken; coconut milk; burnt coconut; turmeric; ginger; garlic; rice; cucumber; chili,chicken; coconut milk; burnt coconut; turmeric; ginger; garlic; rice; cucumber; chili,Cook chicken with coconut milk burnt coconut and spices. Serve over rice with cucumber and chili.,25,65,4,570,Medium,rice bowl; spicy
R074,Sarsiado,Tagalog,Main Dish,fried fish; tomato; onion; garlic; eggs; fish sauce; pepper; cooking oil,fried fish; tomato; onion; garlic; eggs; fish sauce; pepper; cooking oil,Sauté garlic onion and tomato until saucy. Add fried fish and simmer briefly. Pour beaten eggs and cook until softly set.,15,30,4,280,Easy,fish; tomato egg sauce
R075,Sarciadong Itlog,Tagalog,Breakfast,boiled eggs; tomato; onion; garlic; fish sauce; pepper; cooking oil,boiled eggs; tomato; onion; garlic; fish sauce; pepper; cooking oil,Sauté garlic onion and tomato into a sauce. Add boiled eggs and simmer briefly. Season with fish sauce and pepper.,10,20,3,220,Easy,egg; tomato sauce
R076,Egg Sarciado with Sardines,Filipino,Main Dish,canned sardines; eggs; tomato; onion; garlic; chili; fish sauce; pepper,canned sardines; eggs; tomato; onion; garlic; chili; fish sauce; pepper,Sauté garlic onion and tomato. Add sardines and simmer. Add beaten eggs and cook until set. Season and serve with rice.,10,20,3,260,Easy,budget meal; sardines
R077,Ginisang Sayote,Tagalog,Vegetable Dish,sayote; ground pork; shrimp; garlic; onion; tomato; fish sauce; water,sayote; ground pork; shrimp; garlic; onion; tomato; fish sauce; water,Sauté garlic onion tomato and pork. Add sayote and a splash of water. Simmer until tender then add shrimp and season.,15,30,4,230,Easy,vegetable; budget
R078,Ginisang Upo,Tagalog,Vegetable Dish,upo; ground pork; shrimp; garlic; onion; tomato; fish sauce; water,upo; ground pork; shrimp; garlic; onion; tomato; fish sauce; water,Sauté aromatics with pork and tomato. Add upo and water. Simmer until tender. Add shrimp and season with fish sauce.,15,30,4,210,Easy,vegetable; light
